,user_id,order_id,department_id
0,1,2539329,7
1,1,2398795,7
2,1,473747,7
3,1,2254736,7
4,1,431534,7
5,1,3367565,7
6,1,550135,7
7,1,3108588,7
8,1,2295261,7
9,1,2550362,7
10,1,2539329,16
11,1,2539329,19
12,1,2398795,19
13,1,473747,19
14,1,2254736,19
15,1,431534,19
16,1,3367565,19
17,1,550135,19
18,1,3108588,19
19,1,2295261,19
20,1,2550362,19
21,1,2539329,19
22,1,2398795,19
23,1,2539329,17
24,1,2254736,17
25,1,2398795,19
26,1,473747,19
27,1,2254736,19
28,1,431534,19
29,1,3367565,19
30,1,550135,19
31,1,3108588,19
32,1,2295261,19
33,1,2550362,19
34,1,2398795,4
35,1,431534,4
36,2,2168274,4
37,1,2398795,14
38,1,550135,14
39,1,2550362,14
40,1,473747,16
41,1,2254736,16
42,1,431534,16
43,1,3367565,16
44,1,550135,16
45,1,3108588,16
46,1,2295261,16
47,1,2550362,16
48,1,473747,13
49,1,431534,4
50,1,431534,4
51,1,431534,4
52,2,1199898,4
53,2,3194192,4
54,1,3108588,7
55,1,2295261,7
56,1,2550362,7
57,1,3108588,16
58,1,2295261,16
59,1,2550362,19
60,1,2550362,16
61,1,2550362,16
62,2,2168274,19
63,2,1901567,19
64,2,738281,19
65,2,1199898,19
66,2,3194192,19
67,2,788338,19
68,2,1718559,19
69,2,1402090,19
70,2,3186735,19
71,2,2168274,4
72,2,1501582,4
73,2,1901567,4
74,2,1673511,4
75,3,1374495,4
76,3,3002854,4
77,3,2710558,4
78,3,1972919,4
79,3,3225766,4
80,3,3160850,4
81,3,676467,4
82,3,521107,4
83,3,1402502,4
84,2,2168274,20
85,2,1901567,20
86,2,2168274,13
87,2,1199898,13
88,2,3194192,13
89,2,1718559,13
90,2,1447487,13
91,2,2168274,19
92,2,788338,19
93,2,2168274,19
94,2,1718559,19
95,2,1402090,19
96,2,2168274,19
97,2,3194192,19
98,2,1402090,19
99,2,3186735,19
100,2,839880,19
101,2,2168274,7
102,2,2168274,20
103,2,1199898,20
104,5,157374,20
105,2,2168274,20
106,2,2168274,4
107,2,1199898,4
108,2,2168274,4
109,2,1199898,4
110,2,3194192,4
111,2,1501582,4
112,3,1374495,4
113,3,1839752,4
114,3,3160850,4
115,2,1501582,16
116,2,1501582,19
117,2,1501582,19
118,2,1199898,19
119,2,3194192,19
120,2,1402090,19
121,2,1501582,20
122,2,1901567,16
123,2,1718559,16
124,2,839880,16
125,2,1901567,20
126,2,738281,20
127,2,738281,20
128,2,1199898,20
129,2,3194192,20
130,2,1402090,20
131,2,738281,7
132,2,3194192,7
133,2,788338,7
134,2,738281,20
135,2,1199898,20
136,2,3186735,20
137,2,738281,4
138,4,691089,4
139,2,738281,19
140,2,738281,4
141,2,1199898,4
142,2,3194192,4
143,2,788338,4
144,2,1718559,4
145,2,1447487,4
146,2,839880,4
147,2,738281,4
148,2,1199898,4
149,2,3194192,4
150,2,788338,4
151,2,1447487,4
152,2,1402090,4
153,2,3186735,4
154,2,839880,4
155,2,738281,20
156,2,1199898,20
157,2,738281,1
158,2,1718559,1
159,2,738281,1
160,2,1199898,1
161,2,738281,1
162,2,1673511,16
163,2,1673511,19
164,2,1673511,19
165,2,1673511,19
166,2,1673511,19
167,2,1718559,19
168,2,1673511,14
169,2,1673511,14
170,2,1673511,14
171,2,1673511,11
172,2,1673511,16
173,2,1718559,16
174,2,1402090,16
175,2,3186735,16
176,2,1673511,16
177,2,1718559,16
178,2,1447487,16
179,2,1402090,16
180,2,3186735,16
181,2,839880,16
182,2,1673511,16
183,2,1718559,16
184,2,1447487,16
185,2,1402090,16
186,2,3186735,16
